"state_name","race_grp","pop_share_agg","pop_weighted"
"Michigan","Native Hawaiian or Other Pacific Islander",0.000145598348597357,270.423404510227
"Minnesota","Hispanic",0.0334914073829295,59603.6884578437
"Minnesota","White",0.862355419785141,1137310.43607778
"Minnesota","Black",0.0435682096903725,72297.553613388
"Minnesota","Other",0.0139562670873637,25224.8276557509
"Minnesota","Asian",0.0391461954344146,64966.8537972568
"Minnesota","American Indian or Alaska Native",0.00717298177963821,10499.7877541106
"Minnesota","Native Hawaiian or Other Pacific Islander",0.000309518840140744,650.079853447295
"Mississippi","Black",0.331612812965916,135204.328007333
"Mississippi","White",0.631183476847487,239909.748139588
"Mississippi","Asian",0.00853256857346801,3701.62753263279
"Mississippi","Hispanic",0.0184547790954282,7719.00688815801
"Mississippi","Other",0.00688908854275223,2910.28265102753
"Mississippi","American Indian or Alaska Native",0.00327708158946177,1277.17422331113
"Mississippi","Native Hawaiian or Other Pacific Islander",5.01923854864118e-05,20.24877203932
"Missouri","White",0.840641035751202,520004.362927669
"Missouri","Black",0.0972445000827555,63736.6263344113
"Missouri","Other",0.0121389594531302,8284.74365247537
"Missouri","Asian",0.017874864574522,12302.3588515149
"Missouri","Hispanic",0.0277504757531367,19014.8435327608
"Missouri","American Indian or Alaska Native",0.00351145757950685,2336.84558948273
"Missouri","Native Hawaiian or Other Pacific Islander",0.000838706805747044,536.966229117116
"Nebraska","White",0.857169387776747,172292.258057793
"Nebraska","Hispanic",0.069174658244704,17374.192728732
"Nebraska","Black",0.0370182703663432,8653.44093679
"Nebraska","Other",0.00973502743802862,2534.14917048426
"Nebraska","American Indian or Alaska Native",0.00606769038499937,1418.19299041584
"Nebraska","Asian",0.0206969458765186,5036.78799133363
"Nebraska","Native Hawaiian or Other Pacific Islander",0.000138019912659366,41.4077111040881
"Nevada","Asian",0.092303251830064,33878.0991791692
"Nevada","White",0.575211381922822,208122.277613822
"Nevada","Hispanic",0.214786292560951,81330.7977977978
"Nevada","Other",0.0224673968295175,8502.79002644115
"Nevada","American Indian or Alaska Native",0.0086250039270066,3194.42557782705
"Nevada","Black",0.0815461679202703,30451.2228786968
"Nevada","Native Hawaiian or Other Pacific Islander",0.00506050500936843,1885.47501433422
"New Jersey","White",0.61602105550604,887162.471879863
"New Jersey","Black",0.116479804772634,183920.401257186
"New Jersey","Hispanic",0.164460582198942,276749.323232323
"New Jersey","Asian",0.0911832021661459,150425.339444939
"New Jersey","Other",0.0105878756933893,17619.9364581528
"New Jersey","American Indian or Alaska Native",0.000952068341442316,1449.16743286597
"New Jersey","Native Hawaiian or Other Pacific Islander",0.000315411321406876,497.986557297092
